Y-Axis Intensity. Match cells 1:1 with HyTES_WMX for X-Axis spectral wavelength location.,,,,,,,
BND,wvl1,wvl2,wvl3,wvl4,wvl5,wvl6,wvl7
1,0.0073826,0.019223,0.18009,0.62098,0.14926,0.018168,0.0049012
2,0.0072522,0.017049,0.14867,0.61573,0.18557,0.020011,0.0057228
3,0.0066485,0.016413,0.14863,0.61674,0.18648,0.019551,0.0055498
4,0.0063254,0.016138,0.14835,0.61909,0.18584,0.01902,0.0052343
5,0.0060442,0.015983,0.14874,0.62148,0.18435,0.018397,0.0050031
6,0.005729,0.015616,0.1492,0.62405,0.18235,0.018038,0.0050097
7,0.0053174,0.015228,0.15054,0.62636,0.17937,0.017956,0.0052315
8,0.0049757,0.015005,0.15175,0.6279,0.17702,0.017975,0.0053817
9,0.004919,0.015073,0.15351,0.62828,0.1746,0.018024,0.0055976
10,0.0050282,0.0152,0.15521,0.6286,0.17215,0.018089,0.0057251
11,0.0050354,0.01523,0.15661,0.62922,0.17003,0.018094,0.0057861
12,0.005046,0.015256,0.15833,0.63003,0.16754,0.017994,0.0057928
13,0.005043,0.015322,0.15952,0.63084,0.16557,0.017898,0.0058005
14,0.0050406,0.015418,0.16141,0.63167,0.16301,0.017692,0.0057596
15,0.005002,0.0154,0.16313,0.63243,0.16076,0.017543,0.0057422
16,0.00495,0.015323,0.16561,0.63302,0.15802,0.017352,0.0057264
17,0.0048899,0.015219,0.16801,0.63362,0.15543,0.017145,0.0056936
18,0.0048367,0.015037,0.17018,0.63423,0.15308,0.016975,0.0056653
19,0.0047932,0.014842,0.17196,0.63437,0.15131,0.017004,0.0057215
20,0.0047149,0.014535,0.17226,0.63494,0.15079,0.01704,0.0057167
21,0.0046457,0.014338,0.1733,0.63488,0.15005,0.017055,0.0057281
22,0.004605,0.014159,0.174,0.63478,0.14959,0.017123,0.0057384
23,0.004551,0.013996,0.17461,0.63452,0.14935,0.017221,0.0057546
24,0.0045304,0.013888,0.17464,0.6341,0.14967,0.017385,0.0057841
25,0.0045077,0.013791,0.17458,0.63362,0.15019,0.01754,0.0057725
26,0.0045118,0.013728,0.17422,0.63301,0.15105,0.017695,0.0057861
27,0.0045212,0.013668,0.17378,0.63251,0.15196,0.017813,0.0057494
28,0.0044794,0.013562,0.17318,0.63221,0.15291,0.017917,0.0057334
29,0.0044445,0.013473,0.17251,0.63189,0.15392,0.01803,0.0057301
30,0.0044305,0.013483,0.17353,0.63102,0.15375,0.01805,0.005735
31,0.0044055,0.013572,0.17575,0.62993,0.15266,0.017987,0.0056996
32,0.0043915,0.013684,0.17799,0.62874,0.15159,0.017928,0.0056725
33,0.0043575,0.013774,0.17981,0.6279,0.15075,0.017813,0.0055928
34,0.0043602,0.013969,0.18225,0.62661,0.14957,0.017718,0.0055249
35,0.0043548,0.014148,0.1838,0.6255,0.14894,0.017735,0.0055112
36,0.0043577,0.014333,0.18521,0.62437,0.14844,0.017776,0.0055114
37,0.0043167,0.014451,0.18647,0.62338,0.148,0.017853,0.0055252
38,0.0042721,0.014566,0.18766,0.62241,0.14764,0.017924,0.0055291
39,0.004213,0.01467,0.18896,0.62143,0.14723,0.017966,0.0055236
40,0.0041784,0.014743,0.19013,0.62046,0.1469,0.018046,0.0055361
41,0.0041134,0.014707,0.19095,0.61997,0.14666,0.01807,0.0055252
42,0.0040357,0.014732,0.19252,0.61955,0.1456,0.018051,0.005515
43,0.0039967,0.014751,0.19376,0.61911,0.14482,0.01806,0.0055039
44,0.0039701,0.014774,0.19492,0.61855,0.14415,0.018099,0.0055288
45,0.0039458,0.014803,0.19617,0.61802,0.14342,0.018132,0.0055136
46,0.0039232,0.01484,0.19744,0.61734,0.14275,0.018171,0.0055389
47,0.003873,0.014824,0.19869,0.61675,0.14211,0.018223,0.0055346
48,0.0038512,0.014829,0.19975,0.61606,0.14158,0.018321,0.005604
49,0.0038227,0.014854,0.20101,0.61518,0.14105,0.018435,0.0056428
50,0.0037733,0.014841,0.20222,0.61443,0.14059,0.018501,0.0056462
51,0.00374,0.01484,0.20342,0.61359,0.1402,0.018579,0.0056392
52,0.0037141,0.014829,0.20451,0.61272,0.13994,0.018657,0.0056295
53,0.0036798,0.014834,0.20547,0.61189,0.13975,0.018751,0.0056173
54,0.0036917,0.014845,0.20649,0.61093,0.13956,0.01885,0.0056311
55,0.0036946,0.014842,0.20748,0.6101,0.13935,0.018916,0.0056277
