X-Axis Wavelength location in microns. Match cells 1:1 with HyTES_SRF for Y-Axis intensity strength.,,,,,,,
BND,wvl1,wvl2,wvl3,wvl4,wvl5,wvl6,wvl7
1,7.4393,7.4572,7.4751,7.493,7.5109,7.5288,7.5467
2,7.4569,7.4748,7.4927,7.5106,7.5285,7.5464,7.5643
3,7.4745,7.4924,7.5103,7.5282,7.5461,7.564,7.5819
4,7.4922,7.5101,7.528,7.5459,7.5638,7.5817,7.5996
5,7.5098,7.5277,7.5456,7.5635,7.5814,7.5993,7.6172
6,7.5274,7.5453,7.5632,7.5811,7.599,7.6169,7.6348
7,7.545,7.5629,7.5808,7.5987,7.6166,7.6345,7.6524
8,7.5626,7.5805,7.5984,7.6163,7.6342,7.6521,7.67
9,7.5803,7.5982,7.6161,7.634,7.6519,7.6698,7.6877
10,7.5979,7.6158,7.6337,7.6516,7.6695,7.6874,7.7053
11,7.6155,7.6334,7.6513,7.6692,7.6871,7.705,7.7229
12,7.6331,7.651,7.6689,7.6868,7.7047,7.7226,7.7405
13,7.6507,7.6686,7.6865,7.7044,7.7223,7.7402,7.7581
14,7.6684,7.6863,7.7042,7.7221,7.74,7.7579,7.7758
15,7.686,7.7039,7.7218,7.7397,7.7576,7.7755,7.7934
16,7.7036,7.7215,7.7394,7.7573,7.7752,7.7931,7.811
17,7.7212,7.7391,7.757,7.7749,7.7928,7.8107,7.8286
18,7.7388,7.7567,7.7746,7.7925,7.8104,7.8283,7.8462
19,7.7565,7.7744,7.7923,7.8102,7.8281,7.846,7.8639
20,7.7741,7.792,7.8099,7.8278,7.8457,7.8636,7.8815
21,7.7917,7.8096,7.8275,7.8454,7.8633,7.8812,7.8991
22,7.8093,7.8272,7.8451,7.863,7.8809,7.8988,7.9167
23,7.8269,7.8448,7.8627,7.8806,7.8985,7.9164,7.9343
24,7.8446,7.8625,7.8804,7.8983,7.9162,7.9341,7.952
25,7.8622,7.8801,7.898,7.9159,7.9338,7.9517,7.9696
26,7.8798,7.8977,7.9156,7.9335,7.9514,7.9693,7.9872
27,7.8974,7.9153,7.9332,7.9511,7.969,7.9869,8.0048
28,7.915,7.9329,7.9508,7.9687,7.9866,8.0045,8.0224
29,7.9327,7.9506,7.9685,7.9864,8.0043,8.0222,8.0401
30,7.9503,7.9682,7.9861,8.004,8.0219,8.0398,8.0577
31,7.9679,7.9858,8.0037,8.0216,8.0395,8.0574,8.0753
32,7.9855,8.0034,8.0213,8.0392,8.0571,8.075,8.0929
33,8.0031,8.021,8.0389,8.0568,8.0747,8.0926,8.1105
34,8.0208,8.0387,8.0566,8.0745,8.0924,8.1103,8.1282
35,8.0384,8.0563,8.0742,8.0921,8.11,8.1279,8.1458
36,8.056,8.0739,8.0918,8.1097,8.1276,8.1455,8.1634
